n,m,l,S,mse_full,nonlinear_mse_decrease,pct_nonlinear_mse_decrease
128,16,4,0.85,0.0138928369140625,0.019286785278320312,0.5812840534015503
128,16,4,0.9,0.00565537841796875,0.015970946044921875,0.7384956270459637
128,16,4,0.95,0.0025374615859985353,0.007234210472106933,0.7403247293902229
128,32,1,0.85,0.02253029052734375,0.0,0.0
128,32,1,0.9,0.012484707641601563,0.0,0.0
128,32,1,0.95,0.00400138916015625,0.0,0.0
128,32,2,0.85,0.011785242614746094,0.010745047912597656,0.47691563939475146
128,32,2,0.9,0.005913785552978516,0.006570922088623047,0.526317658150633
128,32,2,0.95,0.0007745290184020997,0.0032268601417541508,0.8064349686067888
128,32,3,0.85,0.009340736694335938,0.013189553833007812,0.5854142811429968
128,32,3,0.9,0.0038092781829833985,0.008675429458618164,0.6948844704788989
128,32,3,0.95,0.00044073075294494626,0.003560658407211304,0.8898555638293036
128,32,4,0.85,0.008293728942871094,0.014236561584472656,0.6318853974472517
128,32,4,0.9,0.0038042668914794924,0.00868044075012207,0.6952858648605508
128,32,4,0.95,0.00044073075294494626,0.003560658407211304,0.8898555638293036
128,64,1,0.85,0.003723824691772461,0.0,0.0
128,64,1,0.9,0.0016456362915039063,0.0,0.0
128,64,1,0.95,0.0004211647605895996,0.0,0.0
128,64,2,0.85,0.0014395599365234376,0.0022842647552490233,0.6134189829870219
128,64,2,0.9,0.0004725909233093262,0.00117304536819458,0.7128217664199438
128,64,2,0.95,5.691850543022156e-05,0.00036424625515937804,0.8648545397042718
128,64,3,0.85,0.0009990242195129396,0.0027248004722595217,0.7317209315142531
128,64,3,0.9,0.00026582963943481443,0.0013798066520690918,0.8384639176911446
128,64,3,0.95,4.309970498085022e-05,0.0003780650556087494,0.8976654530153144
128,64,4,0.85,0.0009990242195129396,0.0027248004722595217,0.7317209315142531
128,64,4,0.9,0.00026582963943481443,0.0013798066520690918,0.8384639176911446
128,64,4,0.95,1.0681217312812805e-05,0.00041048354327678685,0.9746388627152475
